Device ID (fixed): TS0199AC
Current timestamp: 2016-02-02T02:08:40
subject_id:T6_1
device_pass:1234
sham:3
trial_duration:160
num_trials:11250
audio_onset:50
audio_duration:1
audio_volume:1.00
pulse_count:3
pulse_delay:-5
pulse_ma:1.60
pduration_usec:100
pdelay_usec:1000
rt_enable:1
lf_enable:0
rt_audio:R_AUDIO.RAW
lf_audio:L_AUDIO.RAW
#### Start Log File ####
TS0199AC
2015-10-01T00:01:02,system powered on
2015-10-01T00:02:15,treatement started
2015-10-01T00:02:50,system powered on
2015-10-01T00:03:06,treatement started
2015-10-01T00:03:26,system powered on
2015-10-01T00:03:31,treatement started
2015-10-01T00:05:55,system powered on
2015-10-01T00:08:16,treatement started
2015-10-01T00:30:49,electrode open
2015-10-02T06:35:55,system powered on
2015-10-02T06:36:24,treatement started
2015-10-02T06:36:25,electrode open
2015-10-02T06:36:49,treatement started
2015-10-02T06:36:57,electrode open
2015-10-02T06:37:08,treatement started
2015-10-02T06:37:24,electrode open
2015-10-02T06:37:46,system powered on
2015-10-02T06:37:47,treatement started
2015-10-02T06:39:07,electrode open
2015-10-02T06:40:08,system powered on
2015-10-02T06:40:11,treatement started
2015-10-02T06:40:43,electrode open
2015-10-02T06:41:43,system powered on
2015-10-02T06:41:50,treatement started
2015-10-02T07:11:51,treatement ended
2015-10-03T09:45:44,system powered on
2015-10-03T09:45:50,treatement started
2015-10-03T10:07:59,electrode open
2015-10-04T08:07:20,system powered on
2015-10-04T08:07:38,treatement started
2015-10-04T08:37:39,treatement ended
2015-10-05T01:29:02,system powered on
2015-10-05T01:29:08,treatement started
2015-10-05T01:43:17,electrode open
2015-10-06T05:00:26,system powered on
2015-10-07T07:31:41,system powered on
2015-10-07T07:31:47,treatement started
2015-10-07T07:48:20,electrode open
2015-10-07T21:50:02,system powered on
2015-10-07T21:53:17,system powered on
2015-10-07T21:53:38,treatement started
2015-10-07T21:53:46,electrode open
2015-10-07T21:53:57,treatement started
2015-10-07T21:54:21,electrode open
2015-10-07T21:54:29,treatement started
2015-10-08T08:29:57,system powered on
2015-10-08T08:30:20,treatement started
2015-10-08T08:30:36,electrode open
2015-10-08T08:30:57,system powered on
2015-10-08T08:31:33,treatement started
2015-10-08T08:31:41,electrode open
2015-10-08T08:32:11,system powered on
2015-10-08T08:32:12,treatement started
2015-10-08T08:32:36,electrode open
2015-10-08T08:34:21,system powered on
2015-10-08T08:34:26,treatement started
2015-10-08T09:04:27,treatement ended
2015-10-09T08:46:53,system powered on
2015-10-09T08:47:06,treatement started
2015-10-09T08:51:30,electrode open
2015-10-09T08:51:40,treatement started
2015-10-09T09:19:41,electrode open
2015-10-10T09:05:37,system powered on
2015-10-10T09:05:40,treatement started
2015-10-10T09:35:41,treatement ended
2015-10-11T07:41:52,system powered on
2015-10-11T07:43:23,treatement started
2015-10-11T07:51:00,electrode open
2015-10-11T07:51:08,treatement started
2015-10-11T07:59:49,electrode open
2015-10-11T07:59:52,treatement started
2015-10-11T08:07:53,electrode open
2015-10-11T08:08:04,treatement started
2015-10-11T08:12:36,electrode open
2015-10-12T10:14:00,system powered on
2015-10-12T10:14:12,treatement started
2015-10-12T10:18:12,electrode open
2015-10-12T10:18:18,treatement started
2015-10-12T10:48:19,treatement ended
2015-10-12T23:01:02,system powered on
2015-10-12T23:05:07,system powered on
2015-10-12T23:05:21,treatement started
2015-10-12T23:05:29,electrode open
2015-10-12T23:05:37,treatement started
2015-10-12T23:06:10,electrode open
2015-10-13T08:36:45,system powered on
2015-10-13T08:37:08,treatement started
2015-10-13T09:07:09,treatement ended
